episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
30,-0.3800000000000061,20.0,0.6200000000000002,-21.0,2954,1,21,0,-11.625828103917929,,
31,19.520000000000014,40.0,0.5200000000000001,-21.0,2806,2,21,0,-10.068536698722031,,
32,-20.540000000000006,0,0.46000000000000013,-21.0,2545,0,21,0,-10.59210986378593,,
33,-20.360000000000014,0,0.6400000000000002,-21.0,3091,0,21,0,-11.080504370596634,,
34,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-11.555479152066802,,
35,-0.5600000000000058,20.0,0.4400000000000001,-21.0,2448,1,21,0,-11.005705194463461,,
36,-0.5200000000000049,20.0,0.48000000000000015,-21.0,2663,1,21,0,-10.481419934740288,,
37,-0.38000000000000655,20.0,0.6200000000000002,-21.0,3084,1,21,0,-9.976348938003273,,
38,-20.580000000000005,0,0.4200000000000001,-21.0,2416,0,21,0,-10.50653149110311,,
39,19.539999999999992,40.0,0.5400000000000001,-21.0,2870,2,21,0,-9.004204916547954,,
40,-0.36000000000000876,20.0,0.6400000000000002,-21.0,3169,1,21,0,-8.571994670720557,,
41,-20.520000000000007,0,0.48000000000000015,-21.0,2617,0,21,0,-9.169394937184528,,
42,-20.500000000000007,0,0.5000000000000001,-21.0,2693,0,21,0,-9.735925190325302,,
43,-20.540000000000006,0,0.46000000000000013,-21.0,2469,0,21,0,-10.276128930809037,,
44,-20.60000000000001,0,0.4000000000000001,-21.0,2342,0,21,0,-10.792322484268587,,
45,-20.560000000000006,0,0.4400000000000001,-21.0,2501,0,21,0,-11.280706360055158,,
46,-20.60000000000001,0,0.4000000000000001,-21.0,2348,0,21,0,-11.7466710420524,,
47,-20.580000000000005,0,0.4200000000000001,-21.0,2402,0,21,0,-12.18833748994978,,
48,-20.56000000000001,0,0.4400000000000001,-21.0,2487,0,21,0,-12.60692061545229,,
49,-0.5400000000000063,20.0,0.46000000000000013,-21.0,2580,1,21,0,-12.003574584679676,,
50,-20.580000000000005,0,0.4200000000000001,-21.0,2424,0,21,0,-12.43239585544569,,
51,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-12.840776062673406,,
52,-20.48000000000001,0,0.5200000000000001,-21.0,2736,0,21,0,-13.222737259539736,,
53,-20.520000000000007,0,0.48000000000000015,-21.0,2590,0,21,0,-13.587600396562749,,
54,-20.60000000000001,0,0.4000000000000001,-21.0,2354,0,21,0,-13.938220376734613,,
55,-20.560000000000006,0,0.4400000000000001,-21.0,2498,0,21,0,-14.269309357897882,,
56,-20.56000000000001,0,0.4400000000000001,-21.0,2490,0,21,0,-14.583843890002987,,
57,-20.60000000000001,0,0.4000000000000001,-21.0,2350,0,21,0,-14.884651695502837,,
58,-0.5600000000000058,20.0,0.4400000000000001,-21.0,2525,1,21,0,-14.168419110727696,,
59,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-14.48899815519131,,
60,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-14.794548247431743,,
61,-20.52000000000001,0,0.48000000000000015,-21.0,2590,0,21,0,-15.080820835060155,,
62,-20.460000000000008,0,0.5400000000000001,-21.0,2842,0,21,0,-15.349779793307146,,
63,-20.520000000000007,0,0.48000000000000015,-21.0,2653,0,21,0,-15.608290803641788,,
64,-20.540000000000006,0,0.46000000000000013,-21.0,2560,0,21,0,-15.8548762634597,,
65,-20.500000000000007,0,0.5000000000000001,-21.0,2718,0,21,0,-16.087132450286713,,
