episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
38,-20.520000000000007,0,0.48000000000000015,-21.0,2604,0,21,0,-12.644332814398453,,
39,-0.44000000000000883,20.0,0.5600000000000002,-21.0,2908,1,21,0,-12.03411617367853,,
40,-20.50000000000001,0,0.5000000000000001,-21.0,2671,0,21,0,-12.457410364994603,,
41,-20.580000000000005,0,0.4200000000000001,-21.0,2418,0,21,0,-12.863539846744873,,
42,-20.480000000000008,0,0.5200000000000001,-21.0,2731,0,21,0,-13.24436285440763,,
43,-0.5600000000000049,20.0,0.4400000000000001,-21.0,2517,1,21,0,-12.610144711687248,,
44,-20.540000000000006,0,0.46000000000000013,-21.0,2566,0,21,0,-13.006637476102886,,
45,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-13.386305602297742,,
46,-0.5800000000000054,20.0,0.4200000000000001,-21.0,2445,1,21,0,-12.745990322182855,,
47,-0.5200000000000067,20.0,0.48000000000000015,-21.0,2659,1,21,0,-12.134690806073712,,
48,-20.540000000000006,0,0.46000000000000013,-21.0,2524,0,21,0,-12.554956265770027,,
49,-0.34000000000000963,20.0,0.6600000000000003,-21.0,3206,1,21,0,-11.944208452481526,,
50,-20.56000000000001,0,0.4400000000000001,-21.0,2492,0,21,0,-12.37499802985745,,
51,-20.500000000000007,0,0.5000000000000001,-21.0,2710,0,21,0,-12.781248128364577,,
52,-20.560000000000006,0,0.4400000000000001,-21.0,2469,0,21,0,-13.170185721946348,,
53,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-13.54067643584903,,
54,-0.4200000000000066,20.0,0.5800000000000002,-21.0,2974,1,21,0,-12.884642614056578,,
55,-20.52000000000001,0,0.48000000000000015,-21.0,2621,0,21,0,-13.266410483353749,,
56,-0.5000000000000062,20.0,0.5000000000000001,-21.0,2756,1,21,0,-12.628089959186061,,
57,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-13.026685461226759,,
58,-20.500000000000007,0,0.5000000000000001,-21.0,2608,0,21,0,-13.40035118816542,,
59,-20.38000000000001,0,0.6200000000000002,-21.0,3102,0,21,0,-13.749333628757148,,
60,-20.56000000000001,0,0.4400000000000001,-21.0,2474,0,21,0,-14.08986694731929,,
61,39.519999999999996,60.0,0.5200000000000001,-21.0,2845,3,21,0,-11.409373599953327,,
62,-20.44000000000001,0,0.5600000000000002,-21.0,2874,0,21,0,-11.86090491995566,,
63,-20.480000000000008,0,0.5200000000000001,-21.0,2760,0,21,0,-12.291859673957877,,
64,-20.52000000000001,0,0.48000000000000015,-21.0,2674,0,21,0,-12.703266690259982,,
65,-20.460000000000008,0,0.5400000000000001,-21.0,2777,0,21,0,-13.091103355746982,,
