episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
34,-20.56000000000001,0,0.4400000000000001,-21.0,2480,0,21,0,-8.276492066883414,,
35,-20.500000000000007,0,0.5000000000000001,-21.0,2699,0,21,0,-8.887667463539243,,
36,-20.480000000000008,0,0.5200000000000001,-21.0,2754,0,21,0,-9.46728409036228,,
37,-20.38000000000001,0,0.6200000000000002,-21.0,3044,0,21,0,-10.012919885844166,,
38,-20.260000000000012,0,0.7400000000000003,-21.0,3399,0,21,0,-10.525273891551958,,
39,-20.320000000000014,0,0.6800000000000003,-21.0,3280,0,21,0,-11.015010196974359,,
40,-0.4600000000000066,20.0,0.5400000000000001,-21.0,2757,1,21,0,-10.48725968712564,,
41,19.440000000000005,40.0,0.4400000000000001,-21.0,2550,2,21,0,-8.990896702769358,,
42,-0.42000000000000703,20.0,0.5800000000000002,-21.0,2978,1,21,0,-8.562351867630891,,
43,-20.60000000000001,0,0.4000000000000001,-21.0,2348,0,21,0,-9.164234274249347,,
44,-0.4400000000000057,20.0,0.5600000000000002,-21.0,2912,1,21,0,-8.72802256053688,,
45,-0.5600000000000085,20.0,0.4400000000000001,-21.0,2452,1,21,0,-8.319621432510036,,
46,-0.40000000000000613,20.0,0.6000000000000002,-21.0,3085,1,21,0,-7.9236403608845345,,
47,-20.460000000000008,0,0.5400000000000001,-21.0,2864,0,21,0,-8.550458342840308,,
48,-20.56000000000001,0,0.4400000000000001,-21.0,2473,0,21,0,-9.150935425698293,,
49,-0.4200000000000088,20.0,0.5800000000000002,-21.0,2989,1,21,0,-8.714388654413378,,
50,-20.500000000000007,0,0.5000000000000001,-21.0,2703,0,21,0,-9.30366922169271,,
51,-20.460000000000008,0,0.5400000000000001,-21.0,2824,0,21,0,-9.861485760608074,,
52,-0.32000000000000917,20.0,0.6800000000000003,-21.0,3283,1,21,0,-9.38441147257767,,
53,-20.44000000000001,0,0.5600000000000002,-21.0,2788,0,21,0,-9.937190898948787,,
54,-20.540000000000006,0,0.46000000000000013,-21.0,2556,0,21,0,-10.467331354001349,,
55,19.719999999999988,40.0,0.7200000000000003,-21.0,3393,2,21,0,-8.957964786301282,,
56,-20.56000000000001,0,0.4400000000000001,-21.0,2490,0,21,0,-9.538066546986219,,
57,-0.42000000000000703,20.0,0.5800000000000002,-21.0,3008,1,21,0,-9.082163219636907,,
58,-0.44000000000000705,20.0,0.5600000000000002,-21.0,2895,1,21,0,-8.650055058655061,,
59,-20.540000000000006,0,0.46000000000000013,-21.0,2559,0,21,0,-9.244552305722308,,
60,19.859999999999985,40.0,0.8600000000000004,-21.0,3895,2,21,0,-7.789324690436193,,
61,-20.34000000000001,0,0.6600000000000003,-21.0,3283,0,21,0,-8.416858455914385,,
62,-20.460000000000008,0,0.5400000000000001,-21.0,2833,0,21,0,-9.019015533118665,,
63,-20.480000000000008,0,0.5200000000000001,-21.0,2763,0,21,0,-9.592064756462733,,
64,-0.400000000000007,20.0,0.6000000000000002,-21.0,3071,1,21,0,-9.132461518639596,,
65,-20.56000000000001,0,0.4400000000000001,-21.0,2494,0,21,0,-9.703838442707617,,
